Table,Year,Rcode,Tenure_code,HCRatio,NumHHlds,PcentHHs,NumHHlds_RSE,PcentHHs_RSE,NumHHlds_Flag,PcentHHs_Flag
T5,2012,RR1,R,Under25,286.8,50.8,8.9,6.5,,
T5,2012,RR2,R,25OrMore,278.1,49.2,8.1,6.7,,
T5,2012,RR3,R,30OrMore,209.2,37,10.1,8.7,,
T5,2012,RR4,R,40OrMore,128.9,22.8,14.8,13,,
T5,2012,RR5,R,Total,564.9,100,5.5,0,,
T5,2012,TR1,T,Under25,1149.2,70.5,3,3,,
T5,2012,TR2,T,25OrMore,480.4,29.5,7.2,7.2,,
T5,2012,TR3,T,30OrMore,341.2,20.9,8.9,8.9,,
T5,2012,TR4,T,40OrMore,200.4,12.3,12.2,12.2,,
T5,2012,TR5,T,Total,1629.6,100,0,0,,
T5,2013,OR1,O,Under25,891.5,81.7,3.2,2.7,,
T5,2013,OR2,O,25OrMore,199.2,18.3,13.3,12,,
T5,2013,OR3,O,30OrMore,129.2,11.8,13.7,12.7,,
T5,2013,OR4,O,40OrMore,61,5.6,23.5,22.6,*,*
T5,2013,OR5,O,Total,1090.7,100,2.9,0,,
T5,2013,RR1,R,Under25,283,51.6,10.9,8.4,,
T5,2013,RR2,R,25OrMore,265.7,48.4,9.8,9,,
T5,2013,RR3,R,30OrMore,195.8,35.7,12.2,11.4,,
T5,2013,RR4,R,40OrMore,126.8,23.1,16.6,16,,
T5,2013,RR5,R,Total,548.7,100,5.7,0,,
T5,2013,TR1,T,Under25,1176,71.7,2.4,2.4,,
T5,2013,TR2,T,25OrMore,464.8,28.3,6.2,6.2,,
T5,2013,TR3,T,30OrMore,325,19.8,8.1,8.1,,
T5,2013,TR4,T,40OrMore,187.8,11.4,11.9,11.9,,
T5,2013,TR5,T,Total,1640.8,100,0,0,,
T5,2014,OR1,O,Under25,868.7,80.2,3.7,2.5,,
T5,2014,OR2,O,25OrMore,213.9,19.8,10.6,10,,
T5,2014,OR3,O,30OrMore,151,13.9,11.8,11.6,,
T5,2014,OR4,O,40OrMore,85.3,7.9,18.5,18.8,,
T5,2014,OR5,O,Total,1082.6,100,2.9,0,,
T5,2014,RR1,R,Under25,317.8,55.6,8.6,6,,
T5,2014,RR2,R,25OrMore,253.9,44.4,8.9,7.5,,
T5,2014,RR3,R,30OrMore,191.9,33.6,10.7,9.3,,
T5,2014,RR4,R,40OrMore,119.6,20.9,13.1,12.2,,
T5,2014,RR5,R,Total,571.7,100,5.5,0,,
T5,2014,TR1,T,Under25,1186.8,71.7,2.3,2.3,,
T5,2014,TR2,T,25OrMore,467.8,28.3,5.7,5.7,,
T5,2014,TR3,T,30OrMore,342.9,20.7,7.2,7.2,,
T5,2014,TR4,T,40OrMore,204.9,12.4,10.2,10.2,,
T5,2014,TR5,T,Total,1654.6,100,0,0,,
T5,2015,OR1,O,Under25,867.8,79.9,3.1,1.9,,
T5,2015,OR2,O,25OrMore,218.7,20.1,7.8,7.7,,
T5,2015,OR3,O,30OrMore,154.9,14.3,9,9,,
T5,2015,OR4,O,40OrMore,82.3,7.6,11.5,11.6,,
T5,2015,OR5,O,Total,1086.4,100,2.3,0,,
T5,2015,RR1,R,Under25,302.3,51.7,7.7,6.1,,
T5,2015,RR2,R,25OrMore,282.7,48.3,7.5,6.5,,
T5,2015,RR3,R,30OrMore,214.5,36.7,9.5,8.3,,
T5,2015,RR4,R,40OrMore,133.9,22.9,13,11.5,,
T5,2015,RR5,R,Total,585,100,4.2,0,,
T5,2015,TR1,T,Under25,1170.2,70,2.2,2.2,,
T5,2015,TR2,T,25OrMore,501.4,30,5,5,,
T5,2015,TR3,T,30OrMore,369.4,22.1,6.7,6.7,,
T5,2015,TR4,T,40OrMore,216.2,12.9,8.5,8.5,,
T5,2015,TR5,T,Total,1671.6,100,0,0,,
T5,2016,OR1,O,Under25,870.5,77.4,4.1,2.5,,
T5,2016,OR2,O,25OrMore,254.5,22.6,8.6,8.7,,
T5,2016,OR3,O,30OrMore,176,15.6,11.7,11.6,,
T5,2016,OR4,O,40OrMore,98.7,8.8,16.9,16.8,,
T5,2016,OR5,O,Total,1125,100,2.8,0,,
T5,2016,RR1,R,Under25,290.8,51.5,10.7,7.9,,
T5,2016,RR2,R,25OrMore,274.3,48.5,8.9,8.4,,
T5,2016,RR3,R,30OrMore,204.7,36.2,10.4,10.5,,
T5,2016,RR4,R,40OrMore,125.8,22.3,14.3,14.6,,
T5,2016,RR5,R,Total,565.1,100,5.5,0,,
T5,2016,TR1,T,Under25,1161.6,68.7,2.7,2.7,,
T5,2016,TR2,T,25OrMore,528.8,31.3,6,6,,
T5,2016,TR3,T,30OrMore,380.7,22.5,7.4,7.4,,
T5,2016,TR4,T,40OrMore,224.5,13.3,10.5,10.5,,
T5,2016,TR5,T,Total,1690.4,100,0,0,,
T5,2017,OR1,O,Under25,866.1,78.7,3.5,2.4,,
T5,2017,OR2,O,25OrMore,234.1,21.3,10.2,9.1,,
T5,2017,OR3,O,30OrMore,161.2,14.6,12.1,11.1,,
T5,2017,OR4,O,40OrMore,82.9,7.5,16.1,15.5,,
T5,2017,OR5,O,Total,1100.2,100,3.1,0,,
T5,2017,RR1,R,Under25,331.4,54.3,9.7,7,,
T5,2017,RR2,R,25OrMore,278.8,45.7,9,8.3,,
T5,2017,RR3,R,30OrMore,206.9,33.9,11,10.4,,
T5,2017,RR4,R,40OrMore,119.9,19.7,14.2,13.8,,
T5,2017,RR5,R,Total,610.2,100,5.5,0,,
T5,2017,TR1,T,Under25,1198.7,70,2.5,2.5,,
T5,2017,TR2,T,25OrMore,512.8,30,5.8,5.8,,
T5,2017,TR3,T,30OrMore,368.1,21.5,7.4,7.4,,
T5,2017,TR4,T,40OrMore,202.8,11.8,10.6,10.6,,
T5,2017,TR5,T,Total,1711.6,100,0,0,,
T5,2018,OR1,O,Under25,885.2,76.8,3.3,2.3,,
T5,2018,OR2,O,25OrMore,267.7,23.2,8.1,7.6,,
T5,2018,OR3,O,30OrMore,181.1,15.7,10.1,9.8,,
T5,2018,OR4,O,40OrMore,86.4,7.5,15.3,15.4,,
T5,2018,OR5,O,Total,1152.9,100,2.4,0,,
T5,2018,RR1,R,Under25,309.2,53.3,7.5,5.6,,
T5,2018,RR2,R,25OrMore,271.4,46.7,7.9,6.4,,
T5,2018,RR3,R,30OrMore,200.8,34.6,9.1,7.7,,
T5,2018,RR4,R,40OrMore,122.7,21.1,10.7,9.4,,
T5,2018,RR5,R,Total,580.6,100,4.8,0,,
T5,2018,TR1,T,Under25,1194.9,68.9,2.2,2.2,,
T5,2018,TR2,T,25OrMore,539.1,31.1,4.8,4.8,,
T5,2018,TR3,T,30OrMore,381.9,22,6,6,,
T5,2018,TR4,T,40OrMore,209.1,12.1,9.5,9.5,,
T5,2018,TR5,T,Total,1734,100,0,0,,
