Table,Year,Rcode,Demographic,Description,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9,Est10,Est11,DQF1,DQF2,DQF3,DQF4,DQF5,DQF6,DQF7,DQF8,DQF9,DQF10,DQF11,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,RSE11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
T10,2011,PA08,Age group,50-54,20.4,21.1,16.5,11.9,25.5,27.8,33.5,47.7,40.5,48.5,293.2,*,*,*,*,*,*,*,*,*,*,,45.9,35.7,45.9,40.8,35.7,30.6,25.5,25.5,25.5,20.4,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PA09,Age group,55-59,20.5,18.3,22.9,27.1,24.4,20.2,22.7,28.4,29.3,39,252.9,*,*,*,*,*,*,*,*,*,*,,45.9,45.9,40.8,40.8,35.7,35.7,30.6,30.6,30.6,25.5,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PA10,Age group,60-64,21.6,14.2,27.7,18.1,25.7,19.7,30.5,20,26.9,27.9,232.2,*,*,*,*,*,*,*,*,*,*,,40.8,45.9,30.6,35.7,40.8,40.8,40.8,30.6,35.7,35.7,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PA11,Age group,65 +,8.8,14.2,118.2,157.8,86,40.4,29,28.6,27.8,27.3,538.3,**,*,,,,*,*,*,*,*,,66.3,45.9,15.3,15.3,20.4,25.5,35.7,40.8,35.7,35.7,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PE01,Ethnicity,European,205.9,228,240.5,246.4,248.9,242.7,238.1,261.9,281.2,299.6,2493.1,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PE02,Ethnicity,Maori,55.3,43.7,54.1,44.3,46.5,47.4,44.2,41.8,31.1,22.7,431.2,,*,*,*,*,*,*,*,*,*,,20.4,25.5,25.5,30.6,25.5,20.4,25.5,35.7,30.6,45.9,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PE03,Ethnicity,Asian,50.7,48,31.5,29,26.6,33.6,42.6,32.8,21.8,18.3,334.9,*,*,*,*,*,*,*,*,*,*,,30.6,25.5,35.7,35.7,35.7,30.6,35.7,30.6,40.8,45.9,15.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PE04,Ethnicity,Pacific people,45.5,28.8,18.3,24.8,23.9,28.9,24.7,17.3,10.7,4.3,227.2,*,*,*,*,*,*,*,*,**,**,,30.6,35.7,35.7,35.7,40.8,35.7,35.7,40.8,51,86.7,15.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PE05,Ethnicity,MELAA,7.9,9.8,7.6,6.6,1.9,2,2,,1.7,2.3,43,**,**,***,**,***,***,***,S,***,***,**,96.9,71.4,132.6,86.7,117.3,107.1,102,,117.3,122.4,61.2,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PE06,Ethnicity,Other ethnic group,8.5,9.3,5.1,10.9,9,5.2,7.8,12.5,10.1,8.4,86.9,*,**,**,**,**,**,**,**,**,*,*,45.9,61.2,56.1,51,56.1,61.2,66.3,51,51,45.9,25.5,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ01,Highest qualification,No qualification,113.9,58.6,111.3,119.2,89.3,67.9,57.5,46,31.5,17.4,712.7,,*,,,,*,*,*,*,*,,20.4,25.5,20.4,20.4,20.4,20.4,25.5,25.5,35.7,45.9,5.1,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ02,Highest qualification,Level 1 -Level 3 Certificate,113.7,133.6,92.3,73.5,100.2,103.9,80.6,82.5,66.5,48.7,895.4,,,*,,,,*,,*,*,,20.4,15.3,20.4,20.4,15.3,15.3,20.4,20.4,20.4,35.7,5.1,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ03,Highest qualification,Level 4 Certificate,16.4,20.1,33.2,30.7,28.3,43.5,56.5,58.2,40.6,29.7,357.1,**,*,*,*,*,*,*,,*,*,,56.1,35.7,40.8,30.6,25.5,30.6,30.6,20.4,30.6,30.6,10.2,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ04,Highest qualification,Level 5 or level 6 Diploma,24.7,35.2,27.9,30.6,39.8,33.8,41.2,47.3,57.4,52.2,390,*,*,*,*,*,*,*,*,*,*,,35.7,30.6,25.5,30.6,30.6,30.6,40.8,25.5,25.5,20.4,10.2,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ05,Highest qualification,Bachelor Degree & Level 7,19.8,32.3,18.1,19.8,24,36.4,38.5,41.1,57.9,70.8,358.7,**,*,*,*,*,*,*,*,*,,,51,35.7,40.8,40.8,30.6,25.5,30.6,25.5,25.5,20.4,10.2,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ06,Highest qualification,Postgraduate & Honours Degrees,9.8,8.2,3.8,8.8,9.5,9,13.2,14.6,32.6,46.8,156.4,**,**,**,**,**,**,**,*,*,*,,61.2,51,71.4,71.4,76.5,76.5,51,40.8,35.7,25.5,15.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ07,Highest qualification,Masters Degree,4.5,3.6,,2.8,5.2,3,8.2,8.1,12.4,36.1,86.1,**,**,S,**,***,**,**,**,*,*,*,86.7,86.7,,86.7,117.3,91.8,56.1,61.2,45.9,30.6,20.4,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ08,Highest qualification,Doctorate Degree,,,,,,,,,4.6,4.7,16.8,S,S,,S,S,S,S,S,**,**,*,,,,,,,,,96.9,61.2,45.9,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ09,Highest qualification,Other Post-school,11.9,13.9,20.2,19.6,23.4,16.2,22.1,20.9,20.8,27.9,196.9,**,*,*,*,*,*,*,*,*,*,,56.1,40.8,35.7,40.8,35.7,45.9,35.7,40.8,35.7,35.7,15.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ10,Highest qualification,Other NZ Secondary School,2.5,2.7,4.1,11.3,2.2,3,,,,,29.3,***,***,***,***,**,**,S,S,S,,**,137.7,107.1,158.1,102,86.7,96.9,,,,,66.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ11,Highest qualification,Overseas Secondary School,20.5,25.5,22.2,20.5,16,17.6,17.6,16.1,8.6,4.7,169.3,*,*,*,*,*,*,*,*,*,**,,40.8,35.7,45.9,35.7,40.8,40.8,45.9,45.9,51,76.5,15.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PQ12,Highest qualification,Not Specified,,,,,,,2.6,,,,12.3,S,S,S,S,S,S,***,S,S,,**,,,,,,,117.3,,,,56.1,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PL01,Labour force status,Employed,64.5,143.6,90.6,116.6,195.7,246.9,298.9,311.9,311.6,323,2103.5,*,,,,,,,,,,,25.5,15.3,20.4,15.3,10.2,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PL02,Labour force status,Unemployed,37.2,33,22.7,15.9,11.5,14.5,1.8,2.3,,,140.2,*,*,*,*,*,**,***,***,S,S,,30.6,35.7,40.8,51,45.9,51,107.1,107.1,,,15.3,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2011,PL03,Labour force status,Not in the Labour Force,237.7,161.2,222.7,207.2,131.6,73.9,39.3,25.5,23.1,15.1,1137.4,,,,,,,*,*,*,*,,10.2,15.3,15.3,15.3,15.3,15.3,30.6,40.8,35.7,51,5.1,"Under    $1,100","$1,100 To   $10,499","$10,500 To   $15,799","$15,800 To   $21,299","$21,300 To   $28,999","$29,000 To   $36,799","$36,800 To   $46,099","$46,100 To   $58,099","$58,100 To   $78,199","$78,200 and Over"
T10,2012,PS01,Sex,Male,144.2,133.2,154,131.3,117.2,161.9,166.3,176.2,204,255.5,1643.8,,,,,,,,,,,,10.2,15.3,15.3,15.3,15.3,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PS02,Sex,Female,195.9,208.4,185.6,212.1,222.1,176.3,172.3,161.9,134.5,93.2,1762.3,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,15.3,20.4,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,P999,Total People 15+,Total people 15+,340.1,341.6,339.6,343.4,339.4,338.2,338.5,338.1,338.5,348.6,3406.1,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA01,Age group,15-19,168,77.7,17.9,9.9,13.8,6.3,3.6,,,,300.5,,,**,**,*,**,**,S,S,S,,10.2,20.4,56.1,56.1,51,61.2,91.8,,,,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA02,Age group,20-24,26.5,63.2,35.8,27.3,42.7,42.2,31.4,21.8,7.5,3.8,302.3,*,,*,*,*,*,*,*,**,**,,30.6,20.4,30.6,35.7,25.5,25.5,35.7,40.8,61.2,86.7,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA03,Age group,25-29,18.1,27.6,19.6,18,19.4,35.4,47.1,41.9,31.3,12,270.5,*,*,*,*,*,*,*,*,*,**,,35.7,30.6,40.8,35.7,35.7,25.5,20.4,30.6,25.5,51,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA04,Age group,30-34,12.6,30,18.6,15.5,17.2,35.5,32.6,35.1,43.2,24.3,264.8,**,*,*,*,*,*,*,*,*,*,,51,25.5,35.7,35.7,35.7,30.6,30.6,35.7,25.5,30.6,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA05,Age group,35-39,18.5,24.6,8.8,23.8,35.1,29.9,35.3,28.2,39.4,42.4,286.1,*,*,*,*,*,*,*,*,*,*,,40.8,30.6,45.9,30.6,25.5,30.6,25.5,25.5,25.5,25.5,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA06,Age group,40-44,14.5,23.6,16.7,22.4,23.9,26.7,30.3,45.2,56.6,54.4,314.2,*,*,*,*,*,*,*,*,,*,,45.9,45.9,35.7,40.8,30.6,30.6,30.6,25.5,20.4,25.5,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA07,Age group,45-49,15.4,26.7,13.3,15.2,25.9,35.7,33.6,48.9,39.9,60.4,315.1,*,*,*,*,*,*,*,*,*,*,,45.9,40.8,45.9,35.7,30.6,30.6,30.6,25.5,25.5,25.5,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA08,Age group,50-54,16.4,18.1,23.5,26.4,24.4,29.5,35.8,34.8,35.8,55.3,299.9,*,*,*,*,*,*,*,*,*,,,45.9,35.7,40.8,35.7,35.7,30.6,30.6,25.5,25.5,20.4,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA09,Age group,55-59,19,18.1,23.8,18.6,20.8,26.9,29.2,27.8,33.5,41.8,259.5,*,*,*,**,*,*,*,*,*,*,,35.7,30.6,35.7,56.1,30.6,35.7,35.7,30.6,25.5,25.5,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA10,Age group,60-64,25.7,19.3,26.7,20.1,21.6,21.2,27.7,22.2,28.8,22.5,236,*,*,*,*,*,*,*,*,*,*,,30.6,35.7,30.6,40.8,45.9,40.8,30.6,30.6,25.5,30.6,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PA11,Age group,65 +,5.3,12.6,134.7,146.3,94.6,48.9,32,29.3,22.2,31.5,557.4,**,*,,,,*,*,*,*,*,,66.3,45.9,15.3,15.3,15.3,20.4,35.7,35.7,30.6,30.6,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PE01,Ethnicity,European,209,241.6,245.4,257.7,260.4,233.1,251.9,259.4,279.6,317.6,2555.8,,,,,,,,,,,,10.2,15.3,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PE02,Ethnicity,Maori,55.6,52.8,37.4,48.8,42.1,49.7,46,40.2,43.1,22.6,438.2,*,*,*,*,*,*,*,*,*,*,,20.4,25.5,30.6,25.5,30.6,30.6,25.5,25.5,25.5,40.8,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PE03,Ethnicity,Asian,67,47.6,41,29.9,24.4,35.7,28.2,35.3,22,15.9,347,*,*,*,*,*,*,*,*,*,*,,30.6,30.6,40.8,35.7,35.7,40.8,40.8,45.9,45.9,45.9,15.3,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PE04,Ethnicity,Pacific people,42,25.4,22.5,17.7,22.6,29.8,26.9,13.3,12.7,3.1,216.1,*,*,*,*,*,*,*,**,**,**,,35.7,45.9,40.8,45.9,35.7,30.6,30.6,56.1,61.2,86.7,20.4,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PE05,Ethnicity,MELAA,6,4,3.8,3.1,,6.8,4.1,2.4,2.5,,34.7,**,**,**,***,S,**,**,***,***,S,*,71.4,96.9,81.6,102,,91.8,86.7,107.1,107.1,,35.7,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PE06,Ethnicity,Other ethnic group,6.8,6.5,7.8,8.5,7.8,5.8,9.3,6.4,5.4,6.7,71.2,**,**,**,**,**,**,**,**,**,**,*,71.4,66.3,71.4,51,71.4,76.5,61.2,71.4,66.3,76.5,30.6,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ01,Highest qualification,No qualification,107.8,50.7,102.2,107,84.4,68.5,48.3,32.7,30.4,18.6,650.4,,*,,,,,*,*,*,*,,15.3,30.6,15.3,15.3,20.4,20.4,25.5,30.6,30.6,45.9,5.1,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ02,Highest qualification,Level 1 -Level 3 Certificate,128.1,133.1,89.6,70.7,114.2,103.1,105.9,87.6,70.3,38.3,940.9,,,,,,,,,*,*,,15.3,15.3,20.4,20.4,20.4,15.3,20.4,20.4,20.4,25.5,5.1,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ03,Highest qualification,Level 4 Certificate,14.6,23.7,32.6,39,27.5,38.9,42.1,56.1,49.1,41.2,364.7,*,*,*,*,*,*,*,*,*,*,,45.9,35.7,25.5,30.6,35.7,30.6,25.5,25.5,20.4,30.6,10.2,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ04,Highest qualification,Level 5 or level 6 Diploma,14.3,33.6,35.3,38.4,39.4,42.2,50.6,44.7,56.4,56.7,411.6,*,*,*,*,*,*,*,*,*,*,,45.9,40.8,30.6,25.5,25.5,25.5,25.5,25.5,25.5,30.6,10.2,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ05,Highest qualification,Bachelor Degree & Level 7,22,41,17.7,23.8,20.1,36,33.5,49.9,55.6,94.4,394,*,*,*,*,*,*,*,*,*,,,40.8,30.6,40.8,40.8,40.8,35.7,25.5,25.5,25.5,20.4,10.2,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ06,Highest qualification,Postgraduate & Honours Degrees,6.9,8.1,7.8,10.1,6.6,7,11.9,22,34,36.5,150.9,**,**,**,**,**,*,*,*,*,*,,61.2,51,81.6,61.2,61.2,51,51,35.7,25.5,30.6,10.2,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ07,Highest qualification,Masters Degree,3.9,8.9,2.3,7.3,7.5,5.2,8.7,13.1,13.8,25.8,96.5,**,**,**,**,**,**,**,**,**,*,,66.3,61.2,96.9,66.3,61.2,76.5,56.1,51,56.1,30.6,20.4,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ08,Highest qualification,Doctorate Degree,,,2.1,,,,,2.6,7.7,7.8,23.3,S,,***,S,,S,S,***,**,**,*,,,117.3,,,,,132.6,66.3,66.3,35.7,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ09,Highest qualification,Other Post-school,14.4,17.1,22.9,19.2,15.1,16.6,24.1,17.5,14.3,21.7,182.9,*,*,**,*,*,*,*,*,*,*,,45.9,45.9,51,45.9,35.7,40.8,40.8,35.7,45.9,40.8,15.3,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ10,Highest qualification,Other NZ Secondary School,4,,6,3.6,2.2,,2.6,4.5,,,28,**,S,***,**,***,S,***,***,,S,*,86.7,,102,91.8,117.3,,112.2,127.5,,,40.8,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ11,Highest qualification,Overseas Secondary School,22.8,22.4,21.1,22.9,19.6,17.1,10.3,7.5,6,6.3,155.9,*,*,*,*,*,*,**,**,**,**,,45.9,35.7,45.9,40.8,35.7,35.7,51,66.3,61.2,86.7,15.3,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PQ12,Highest qualification,Not Specified,,,,,,,,,,,7,S,S,,S,S,S,,,S,S,**,,,,,,,,,,,71.4,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PL01,Labour force status,Employed,46.3,137.6,85.1,135.6,191.6,263.1,292.8,314.1,322.4,325.5,2114.1,*,,,,,,,,,,,35.7,15.3,20.4,15.3,15.3,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
